,surface_reelle_bati,code_commune,type_local,valeur_fonciere
1058896,70.0,75105,Appartement,800000.0
948602,20.0,92044,Appartement,200300.0
958845,82.0,92019,Appartement,352300.0
1031604,43.0,75120,Appartement,448000.0
1033509,50.0,75118,Appartement,608350.0
1043848,45.0,75117,Appartement,415000.0
1058004,38.0,75112,Appartement,330732.0
1050656,105.0,75116,Appartement,70000.0
1032346,56.0,75117,Appartement,361000.0
961418,132.0,92071,Maison,1208400.0
946768,82.0,92078,Appartement,180000.0
950888,28.0,92024,Appartement,160000.0
1051650,112.0,75116,Appartement,1440000.0
958949,57.0,92020,Appartement,337000.0
981305,18.0,93005,Appartement,42000.0
959903,56.0,92023,Appartement,199000.0
1042628,38.0,75120,Appartement,250000.0
1046798,77.0,75118,Appartement,360560.5
1062544,50.0,75113,Appartement,540000.0
1000971,31.0,94067,Appartement,192000.0
992412,185.0,94073,Maison,791800.0
950582,60.0,92024,Appartement,529750.0
999659,30.0,94019,Appartement,184000.0
965423,119.0,92023,Maison,881075.0
1053337,26.0,75111,Appartement,485200.0
989159,97.0,94058,Appartement,662000.0
955485,103.0,92044,Appartement,1040000.0
958226,54.0,92012,Appartement,340000.0
989982,68.0,94002,Appartement,362000.0
1030678,80.0,75117,Appartement,1038000.0
948879,22.0,92004,Appartement,170000.0
1039200,88.0,75119,Appartement,785020.0
1045805,55.0,75117,Appartement,1450000.0
1037608,140.0,75109,Appartement,87100.0
1033756,73.0,75120,Appartement,645000.0
961238,43.0,92032,Appartement,264000.0
994708,53.0,94037,Appartement,310000.0
988095,53.0,94044,Maison,348000.0
944574,50.0,92026,Appartement,322400.0
1046398,35.0,75119,Appartement,340000.0
946952,62.0,92063,Appartement,336300.0
984080,175.0,94071,Maison,1000000.0
1038275,50.0,75110,Appartement,388000.0
974134,55.0,93077,Appartement,1125000.0
969867,36.0,93005,Maison,269000.0
998817,85.0,94041,Appartement,420000.0
954412,67.0,92036,Appartement,360000.0
976579,137.0,93053,Maison,650000.0
1000348,39.0,94076,Appartement,201500.0
1050561,51.0,75115,Appartement,80000.0
967407,50.0,93077,Appartement,173000.0
1049915,94.0,75111,Appartement,1241000.0
975419,80.0,93048,Appartement,735850.0
950352,60.0,92004,Appartement,280000.0
986658,49.0,94059,Appartement,185000.0
967470,37.0,93071,Appartement,70000.0
971434,42.0,93078,Appartement,124000.0
984012,93.0,94079,Maison,525000.0
1056931,57.0,75115,Appartement,680000.0
996252,60.0,94068,Appartement,317000.0
965374,79.0,92007,Appartement,375000.0
1039332,58.0,75120,Appartement,544450.0
944642,41.0,92050,Appartement,205800.0
944968,47.0,92004,Maison,525000.0
1042643,47.0,75118,Appartement,400000.0
1037244,190.0,75117,Appartement,6800000.0
1062225,57.0,75107,Appartement,815000.0
1061059,34.0,75105,Appartement,420000.0
976728,42.0,93053,Appartement,190000.0
960791,40.0,92020,Maison,330000.0
970590,80.0,93071,Maison,272000.0
989369,60.0,94059,Appartement,218500.0
987227,74.0,94028,Appartement,348800.0
989259,83.0,94044,Maison,392000.0
952973,59.0,92051,Appartement,610000.0
977451,50.0,93048,Appartement,640000.0
994417,60.0,94055,Maison,300000.0
1040496,40.0,75117,Appartement,667955.0
964996,27.0,92046,Appartement,222000.0
946976,67.0,92050,Appartement,330000.0
992629,84.0,94078,Maison,300000.0
964163,89.0,92048,Appartement,810000.0
1040405,39.0,75110,Appartement,310000.0
1064514,220.0,75107,Appartement,5400000.0
967213,64.0,93077,Appartement,200000.0
1062774,69.0,75114,Appartement,584000.0
951799,62.0,92073,Appartement,365000.0
950536,52.0,92044,Appartement,509755.0
956989,38.0,92049,Appartement,355000.0
1062474,135.0,75116,Appartement,2191800.0
976044,23.0,93077,Appartement,122000.0
1045284,46.0,75120,Appartement,495000.0
1047873,50.0,75111,Appartement,1032203.0
1035072,62.0,75117,Appartement,515000.0
949225,86.0,92026,Appartement,628800.0
955419,95.0,92062,Appartement,570000.0
957716,26.0,92040,Appartement,172750.0
1049421,35.0,75115,Appartement,295000.0
983312,116.0,93071,Maison,289000.0
999410,112.0,94004,Maison,439000.0
977972,28.0,93078,Appartement,115000.0
959520,52.0,92049,Appartement,373000.0
1056024,10.0,75114,Appartement,248000.0
1059462,20.0,75105,Appartement,236700.0
1043812,27.0,75104,Appartement,378850.0
997450,42.0,94052,Appartement,245000.0
1031083,87.0,75118,Appartement,847350.0
1038112,61.0,75119,Appartement,690000.0
1047596,12.0,75106,Appartement,180000.0
